departamento,anio,uso_cabina_porc,tel_fija_unid,tel_movil_unid,tel_pub_unid,uso_inter_porc,sub_inter_fijo_unid,vab_tel_miles_2007,pbi_regional_miles,hogar_1_radio_porc,hogar_1_tv_porc,hogar_con_cable_porc,hogar_1_compu_porc,compus,id_logit
Callao,2014,16.980275175326398,116550.0,1132908.0,6696.0,57.09945988679458,89389.0,867485.0,19828477,80.00170181474074,96.93832772811585,49.11763710675073,32.5874545765386,346.0,Alto
Callao,2015,13.293610844105752,116550.0,1132908.0,6696.0,59.37058358803687,100059.0,867485.0,20209052,79.85014154813807,96.26820663020513,31.21361842417183,41.01497888130754,1510.0,Alto
Callao,2016,10.74276438630123,116550.0,1132908.0,6696.0,65.41612540835561,104852.0,867485.0,20690862,78.64619857376215,96.78922248402527,26.33353545308257,23.33258583450362,1208.0,Alto
Callao,2017,8.885983891399631,116550.0,1132908.0,6696.0,67.10224300854847,112942.0,867485.0,21400320,76.77353008365,96.77808384117377,26.13817034126582,24.47683043218515,3503.0,Alto
Callao,2018,7.484819634290455,116550.0,1132908.0,6696.0,70.71935304280719,128757.0,867485.0,22229310,75.7142920261634,96.60637681737914,6.832543066429907,20.98481488830225,2825.0,Alto
Callao,2019,6.196572124708765,116550.0,1132908.0,6696.0,73.56129038471052,119113.0,867485.0,22458010,75.43605191994853,96.24012372254685,54.07816613265609,18.47886883620742,1822.0,Alto
Callao,2020,1.1899036550251734,116550.0,1132908.0,6696.0,77.63955035991702,133139.0,867485.0,18855112,73.7419946820329,95.98162592914457,18.51041056351934,39.69040335792742,2409.0,Alto
Callao,2021,0.3162828141183465,116550.0,1132908.0,6696.0,84.14959258068777,156911.0,867485.0,22168532,70.85199215421508,96.69524527927898,43.57689636274437,30.66029254065752,583.0,Alto
Cusco,2011,22.288738000991522,54978.0,788860.0,5956.0,29.6,19891.0,287869.0,17384466,92.47550152363586,76.88304339653651,21.07829191055456,20.52710282112089,1246.0,Alto
Cusco,2012,21.493304507895544,55818.0,876512.0,6096.0,31.805731054496835,26716.0,326108.0,17711332,90.6,79.6,23.61919082243332,15.2575890714005,1000.0,Alto
Cusco,2013,24.297179414847733,56930.0,973631.0,5775.0,34.66662580118665,31635.0,363840.0,20708699,93.12947538041855,79.29336388043114,24.56037895617619,28.47558408525986,3634.0,Alto
Cusco,2014,19.39773028433632,59332.0,1039381.0,5571.0,31.883451159369464,37285.0,407623.0,20723581,90.71449045847282,74.41991964938715,11.86908251987486,14.77715592987784,1221.0,Alto
Cusco,2015,21.237656731434235,61039.0,1083517.0,4994.0,32.40479793598532,42739.0,450326.0,21071852,90.65620614453755,73.98374234894224,30.58759543718098,43.65085881842224,3910.0,Alto
Cusco,2016,20.365758151510573,63430.0,1076987.0,4292.0,35.513335323831086,47582.0,484937.0,21898270,89.88824265001755,76.19478624681712,8.572762697940284,13.71468354425168,2128.0,Alto
Cusco,2017,13.775279160504727,64614.0,1009463.0,3952.0,31.453812630890358,52522.0,510401.0,21576717,88.47959283623369,75.44106876024559,11.73992493092752,15.14132988843571,4047.000000000001,Alto
Cusco,2018,11.844919357575524,62530.0,970959.0,3421.0,33.5590095766194,62419.0,511898.0,21700735,90.12638177808539,77.74836793831611,54.96155629934905,49.2599794706699,1774.0,Alto
Cusco,2019,8.810519619474105,54422.0,1160668.0,2454.0,36.5449463348206,56073.0,554260.0,22006880,90.43525274180523,74.99322351429579,13.83484701655663,25.24754400674691,9512.999999999995,Alto
Cusco,2020,2.370996538439945,48787.0,1227061.0,2065.0,39.55716675935791,73635.0,600422.0,19326435,92.27947093204911,74.79098195046868,4.991266497991739,7.374392358136188,1842.0,Alto
Cusco,2021,0.39171310358812356,48490.0,1326675.0,2011.0,53.117760478345296,82275.0,677796.0,20594957,91.08040786935132,75.47360647176782,21.98974514187636,17.02687925102556,1707.0,Alto
Huancavelica,2011,16.252540295326572,4505.0,178044.0,1194.0,18.1,1630.0,16496.0,2909215,70.59530284565274,57.79965833941727,35.4751350197134,38.06819818019153,1640.0,Bajo
Huancavelica,2012,14.933961074979521,5885.0,197827.0,1213.0,17.05364120303345,2506.0,19108.0,3143661,69.5,56.1,19.83825889578522,27.85038508870558,3693.999999999999,Bajo
Huancavelica,2013,13.174447734384959,5705.0,205513.0,1151.0,16.56463535454188,2656.0,20851.0,3174927,75.6180587668567,61.037773902121195,28.91020521232559,28.81376406149696,3250.0,Bajo
Huancavelica,2014,11.31805658804708,6127.0,231736.0,1194.0,14.048605512632987,3238.0,23180.0,3281748,68.79303908592654,56.34260847202106,26.47047016983414,30.3016991225747,1732.0,Bajo
Huancavelica,2015,13.896284121127115,6142.0,248126.0,1087.0,18.142972791199945,3464.0,25887.0,3265820,72.15543956029856,60.28272855952089,62.08398510333827,51.98263031329984,13551.0,Bajo
Huancavelica,2016,14.246467222375925,4362.0,252212.0,981.0,21.556679762822377,3318.0,27572.0,3212948,73.11774451240737,59.76931882679828,48.06676387512366,27.42821153423999,2928.0,Bajo
Huancavelica,2017,15.889100600909972,4274.0,261264.0,906.0,25.713827248201223,3585.0,31152.0,3354985,70.85554227240686,57.92720467542904,28.43266299081877,18.31102292575289,2013.0,Bajo
Huancavelica,2018,13.114759102301424,3684.0,240868.0,805.0,26.252449906264374,3754.0,31263.0,3525421,67.31757943994234,59.56885607896444,45.90447247995358,28.4812820936915,406.9999999999999,Bajo
Huancavelica,2019,11.67428710511897,3147.0,253963.0,416.0,30.029881335086174,3686.0,33899.0,3527812,71.0060548266649,57.69542921435468,33.50791567446754,40.05990226525937,1796.0,Bajo
Huancavelica,2020,4.565135756783354,2570.0,292504.0,377.0,47.34086687878279,5122.0,37869.0,3284707,72.64466469292915,60.56046865580078,32.0403807240149,22.47534141430725,1341.0,Bajo
Huancavelica,2021,1.031308073746527,2670.0,310686.0,319.0,55.657164096004294,5127.0,42520.0,3501268,74.365406393676,60.004177362972456,30.38784711942652,23.13431229635935,3857.000000000001,Bajo
